#           x             T        mag(U)             p
       -4.995       348.432   1.45873e-15        100000
       -4.985       348.432   6.14125e-13        100000
       -4.975       348.432   1.45873e-15        100000
       -4.965       348.432   5.17709e-25        100000
       -4.955       348.432   6.47676e-13        100000
       -4.945       348.432   8.76593e-25        100000
       -4.935       348.432   8.09595e-13        100000
       -4.925       348.432   1.45873e-12        100000
       -4.915       348.432   2.82994e-13        100000
       -4.905       348.432   3.28214e-13        100000
       -4.895       348.432   1.29827e-13        100000
       -4.885       348.432   2.20268e-13        100000
       -4.875       348.432   9.24835e-13        100000
       -4.865       348.432   3.45719e-13        100000
       -4.855       348.432   7.38117e-13        100000
       -4.845       348.432   1.47332e-13        100000
       -4.835       348.432   1.01673e-12        100000
       -4.825       348.432   1.79424e-13        100000
       -4.815       348.432   5.49941e-13        100000
       -4.805       348.432   9.04412e-14        100000
       -4.795       348.432   8.75238e-15        100000
       -4.785       348.432   5.68905e-13        100000
       -4.775       348.432   4.50747e-13        100000
       -4.765       348.432    7.4687e-13        100000
       -4.755       348.432   1.17574e-12        100000
       -4.745       348.432   3.38425e-13        100000
       -4.735       348.432   3.16544e-13        100000
       -4.725       348.432    5.0472e-13        100000
       -4.715       348.432   9.04412e-14        100000
       -4.705       348.432   4.39078e-13        100000
       -4.695       348.432   8.03895e-25        100000
       -4.685       348.432   8.09595e-13        100000
       -4.675       348.432   1.45873e-12        100000
       -4.665       348.432   2.82994e-13        100000
       -4.655       348.432   3.28214e-13        100000
       -4.645       348.432   1.29827e-13        100000
       -4.635       348.432   2.20268e-13        100000
       -4.625       348.432   9.24835e-13        100000
       -4.615       348.432   3.45719e-13        100000
       -4.605       348.432   7.38117e-13        100000
       -4.595       348.432   1.47332e-13        100000
       -4.585       348.432   1.01673e-12        100000
       -4.575       348.432   1.79424e-13        100000
       -4.565       348.432   5.49941e-13        100000
       -4.555       348.432   9.04412e-14        100000
       -4.545       348.432   8.75238e-15        100000
       -4.535       348.432   5.68905e-13        100000
       -4.525       348.432   4.50747e-13        100000
       -4.515       348.432    7.4687e-13        100000
       -4.505       348.432   1.17574e-12        100000
       -4.495       348.432   3.38425e-13        100000
       -4.485       348.432   3.16544e-13        100000
       -4.475       348.432    5.0472e-13        100000
       -4.465       348.432   9.04412e-14        100000
       -4.455       348.432   4.39078e-13        100000
       -4.445       348.432   6.60059e-25        100000
       -4.435       348.432   8.09595e-13        100000
       -4.425       348.432   1.45873e-12        100000
       -4.415       348.432   2.82994e-13        100000
       -4.405       348.432   3.28214e-13        100000
       -4.395       348.432   1.29827e-13        100000
       -4.385       348.432   2.20268e-13        100000
       -4.375       348.432   9.24835e-13        100000
       -4.365       348.432   3.45719e-13        100000
       -4.355       348.432   7.38117e-13        100000
       -4.345       348.432   1.47332e-13        100000
       -4.335       348.432   1.01673e-12        100000
       -4.325       348.432   1.79424e-13        100000
       -4.315       348.432   5.49941e-13        100000
       -4.305       348.432   9.04412e-14        100000
       -4.295       348.432   8.75238e-15        100000
       -4.285       348.432   5.68905e-13        100000
       -4.275       348.432   4.50747e-13        100000
       -4.265       348.432    7.4687e-13        100000
