#           x             T        mag(U)             p
       -4.995       348.432   4.31784e-13        100000
       -4.985       348.432   1.31286e-14        100000
       -4.975       348.432   1.26909e-13        100000
       -4.965       348.432   6.03914e-13        100000
       -4.955       348.432   6.14125e-13        100000
       -4.945       348.432   7.86255e-13        100000
       -4.935       348.432   9.48174e-13        100000
       -4.925       348.432   1.33911e-12        100000
       -4.915       348.432   4.68252e-13        100000
       -4.905       348.432   6.81227e-13        100000
       -4.895       348.432   1.18741e-12        100000
       -4.885       348.432   7.62916e-13        100000
       -4.875       348.432    1.6046e-14        100000
       -4.865       348.432   1.75048e-12        100000
       -4.855       348.432    3.3259e-13        100000
       -4.845       348.432   3.15086e-13        100000
       -4.835       348.432   3.22379e-13        100000
       -4.825       348.432   1.07217e-12        100000
       -4.815       348.432   1.27055e-12        100000
       -4.805       348.432   2.45504e-12        100000
       -4.795       348.432   2.37919e-12        100000
       -4.785       348.432   3.54325e-12        100000
       -4.775       348.432   1.69942e-12        100000
       -4.765       348.432   2.73949e-12        100000
       -4.755       348.432   1.97512e-12        100000
       -4.745       348.432   1.04591e-12        100000
       -4.735       348.432   1.28222e-12        100000
       -4.725       348.432   1.53604e-12        100000
       -4.715       348.432   1.39455e-12        100000
       -4.705       348.432   2.07577e-12        100000
       -4.695       348.432   2.62571e-13        100000
       -4.685       348.432   2.33397e-13        100000
       -4.675       348.432   1.12468e-12        100000
       -4.665       348.432   1.39892e-12        100000
       -4.655       348.432   9.39422e-13        100000
       -4.645       348.432   1.16698e-12        100000
       -4.635       348.432   8.30017e-13        100000
       -4.625       348.432   1.95616e-12        100000
       -4.615       348.432   1.38579e-13        100000
       -4.605       348.432   6.33089e-13        100000
       -4.595       348.432   7.42493e-13        100000
       -4.585       348.432   8.76696e-13        100000
       -4.575       348.432   1.46456e-12        100000
       -4.565       348.432   4.60959e-13        100000
       -4.555       348.432   3.23838e-13        100000
       -4.545       348.432   1.16407e-12        100000
       -4.535       348.432   1.60314e-12        100000
       -4.525       348.432   5.42647e-13        100000
       -4.515       348.432   6.89979e-13        100000
       -4.505       348.432   7.01649e-13        100000
       -4.495       348.432   1.16698e-14        100000
       -4.485       348.432   5.99538e-13        100000
       -4.475       348.432      9.19e-14        100000
       -4.465       348.432   8.57733e-13        100000
       -4.455       348.432    1.9547e-13        100000
