#           x             T        mag(U)             p
       -4.995       348.432   2.53673e-12        100000
       -4.985       348.432   6.92897e-13        100000
       -4.975       348.432   7.07484e-13        100000
       -4.965       348.432   2.15892e-13        100000
       -4.955       348.432     1.838e-13        100000
       -4.945       348.432   7.90631e-13        100000
       -4.935       348.432   1.95178e-12        100000
       -4.925       348.432   7.16236e-13        100000
       -4.915       348.432   2.13412e-12        100000
       -4.905       348.432   5.83492e-14        100000
       -4.895       348.432   1.29389e-12        100000
       -4.885       348.432   1.16698e-14        100000
       -4.875       348.432   1.75048e-14        100000
       -4.865       348.432    1.2443e-12        100000
       -4.855       348.432   9.40881e-13        100000
       -4.845       348.432   1.29973e-12        100000
       -4.835       348.432   1.31286e-13        100000
       -4.825       348.432   6.37465e-13        100000
       -4.815       348.432   1.18741e-12        100000
       -4.805       348.432   1.06196e-12        100000
       -4.795       348.432   2.04514e-12        100000
       -4.785       348.432   1.96053e-12        100000
       -4.775       348.432   1.85405e-12        100000
       -4.765       348.432    1.1276e-12        100000
       -4.755       348.432   1.45435e-12        100000
       -4.745       348.432    7.0019e-13        100000
       -4.735       348.432   5.83492e-14        100000
       -4.725       348.432   2.77159e-14        100000
       -4.715       348.432   7.29365e-15        100000
       -4.705       348.432   2.58341e-12        100000
       -4.695       348.432   3.20921e-13        100000
       -4.685       348.432   1.21512e-12        100000
       -4.675       348.432   1.03278e-12        100000
       -4.665       348.432   1.57105e-12        100000
       -4.655       348.432   1.22533e-13        100000
       -4.645       348.432   2.81827e-12        100000
       -4.635       348.432    1.6119e-12        100000
       -4.625       348.432    9.0733e-13        100000
       -4.615       348.432   5.86409e-13        100000
       -4.605       348.432   1.01965e-12        100000
       -4.595       348.432   2.66948e-13        100000
       -4.585       348.432   8.08136e-13        100000
       -4.575       348.432   1.25159e-12        100000
       -4.565       348.432   1.14073e-12        100000
       -4.555       348.432   4.08444e-14        100000
       -4.545       348.432   2.47546e-12        100000
       -4.535       348.432   1.91094e-13        100000
       -4.525       348.432   2.71324e-13        100000
       -4.515       348.432   1.28806e-12        100000
       -4.505       348.432   1.37266e-12        100000
       -4.495       348.432   6.89979e-13        100000
       -4.485       348.432   1.21075e-13        100000
       -4.475       348.432   9.20458e-13        100000
       -4.465       348.432   2.00429e-12        100000
       -4.455       348.432   1.64545e-12        100000
       -4.445       348.432   2.27562e-13        100000
       -4.435       348.432   2.18809e-13        100000
       -4.425       348.432   7.74585e-13        100000
       -4.415       348.432    1.9722e-12        100000
       -4.405       348.432   1.23992e-12        100000
       -4.395       348.432   6.56428e-14        100000
       -4.385       348.432   1.83071e-12        100000
       -4.375       348.432   7.86255e-13        100000
       -4.365       348.432   7.07484e-13        100000
       -4.355       348.432   5.71822e-13        100000
       -4.345       348.432   1.13781e-13        100000
       -4.335       348.432   1.62357e-12        100000
       -4.325       348.432   3.23838e-13        100000
       -4.315       348.432   8.13971e-13        100000
       -4.305       348.432   5.10555e-14        100000
       -4.295       348.432   3.57389e-13        100000
       -4.285       348.432   1.25159e-12        100000
       -4.275       348.432   2.08598e-13        100000
       -4.265       348.432   1.71984e-12        100000
       -4.255       348.432   4.18655e-13        100000
       -4.245       348.432   1.11447e-12        100000
       -4.235       348.432   2.78617e-13        100000
       -4.225       348.432   5.83492e-15        100000
       -4.215       348.432   1.30702e-12        100000
       -4.205       348.432   1.57251e-12        100000
       -4.195       348.432   8.00843e-13        100000
       -4.185       348.432   1.67754e-13        100000
       -4.175       348.432   1.13052e-12        100000
       -4.165       348.432   1.39017e-12        100000
       -4.155       348.432   4.94509e-13        100000
       -4.145       348.432   1.53458e-12        100000
       -4.135       348.432   3.18003e-13        100000
       -4.125       348.432   1.36099e-12        100000
       -4.115       348.432   1.02257e-12        100000
       -4.105       348.432   1.83216e-12        100000
       -4.095       348.432   2.31938e-13        100000
       -4.085       348.432   3.19316e-12        100000
       -4.075       348.432    1.1203e-12        100000
       -4.065       348.432   1.16844e-12        100000
       -4.055       348.432   2.36898e-12        100000
       -4.045       348.432    2.7993e-12        100000
       -4.035       348.432   3.10709e-12        100000
       -4.025       348.432   2.35585e-12        100000
       -4.015       348.432   1.88176e-12        100000
       -4.005       348.432   9.61303e-13        100000
       -3.995       348.432   2.37044e-12        100000
       -3.985       348.432   3.21942e-12        100000
       -3.975       348.432   2.01451e-12        100000
       -3.965       348.432   2.19685e-12        100000
       -3.955       348.432   1.71547e-12        100000
       -3.945       348.432   3.42656e-12        100000
       -3.935       348.432   3.62203e-12        100000
       -3.925       348.432   2.47546e-12        100000
       -3.915       348.432   2.05827e-12        100000
       -3.905       348.432   2.49589e-12        100000
       -3.895       348.432   7.61457e-13        100000
       -3.885       348.432   1.13927e-12        100000
       -3.875       348.432    6.5497e-13        100000
       -3.865       348.432   1.64836e-13        100000
       -3.855       348.432    6.8852e-13        100000
       -3.845       348.432   7.73127e-13        100000
       -3.835       348.432   5.54317e-13        100000
       -3.825       348.432   2.69865e-13        100000
       -3.815       348.432    1.8803e-12        100000
       -3.805       348.432   1.78111e-12        100000
       -3.795       348.432     1.838e-12        100000
       -3.785       348.432   9.30669e-13        100000
       -3.775       348.432   1.32307e-12        100000
       -3.765       348.432   1.21366e-12        100000
       -3.755       348.432   1.42664e-12        100000
       -3.745       348.432   4.98886e-13        100000
       -3.735       348.432    8.1543e-13        100000
       -3.725       348.432   8.75238e-14        100000
       -3.715       348.432   2.08307e-12        100000
       -3.705       348.432   4.95968e-13        100000
       -3.695       348.432    8.0376e-13        100000
       -3.685       348.432   4.63876e-13        100000
       -3.675       348.432   2.01305e-13        100000
       -3.665       348.432    1.2618e-12        100000
       -3.655       348.432    1.7709e-12        100000
       -3.645       348.432   8.02301e-13        100000
       -3.635       348.432   2.72782e-13        100000
       -3.625       348.432   6.02455e-13        100000
       -3.615       348.432   2.65489e-13        100000
       -3.605       348.432   4.20114e-13        100000
       -3.595       348.432   1.40184e-12        100000
       -3.585       348.432   1.71838e-12        100000
       -3.575       348.432   1.48061e-12        100000
       -3.565       348.432   2.12829e-12        100000
       -3.555       348.432   2.52798e-12        100000
       -3.545       348.432   2.25665e-12        100000
       -3.535       348.432   1.01965e-12        100000
       -3.525       348.432   2.66948e-12        100000
       -3.515       348.432   2.54694e-12        100000
       -3.505       348.432   2.37773e-12        100000
       -3.495       348.432   1.51708e-13        100000
       -3.485       348.432   9.55468e-13        100000
       -3.475       348.432   7.95008e-13        100000
       -3.465       348.432   6.28712e-13        100000
       -3.455       348.432   8.75238e-13        100000
       -3.445       348.432   4.78463e-13        100000
       -3.435       348.432   7.03108e-13        100000
       -3.425       348.432   4.60959e-13        100000
       -3.415       348.432   1.72859e-12        100000
       -3.405       348.432   1.99846e-13        100000
       -3.395       348.432   4.66793e-14        100000
       -3.385       348.432   3.50095e-14        100000
       -3.375       348.432    1.9547e-13        100000
       -3.365       348.432   3.49074e-12        100000
       -3.355       348.432   3.60744e-12        100000
       -3.345       348.432   2.88099e-12        100000
       -3.335       348.432   2.27708e-12        100000
       -3.325       348.432   1.10134e-12        100000
       -3.315       348.432   9.04412e-14        100000
       -3.305       348.432   1.51854e-12        100000
       -3.295       348.432   9.80266e-13        100000
       -3.285       348.432   7.99384e-13        100000
       -3.275       348.432   7.61457e-13        100000
       -3.265       348.432   8.97119e-13        100000
       -3.255       348.432   4.31784e-13        100000
       -3.245       348.432   5.70363e-13        100000
       -3.235       348.432   4.21573e-13        100000
       -3.225       348.432   1.83946e-12        100000
       -3.215       348.432   1.91677e-12        100000
       -3.205       348.432   2.74387e-12        100000
       -3.195       348.432   2.91454e-12        100000
       -3.185       348.432   3.12752e-12        100000
       -3.175       348.432   3.69642e-12        100000
       -3.165       348.432   2.81681e-12        100000
       -3.155       348.432   2.60675e-12        100000
       -3.145       348.432   4.26387e-12        100000
       -3.135       348.432   4.71316e-12        100000
       -3.125       348.432   4.21427e-12        100000
       -3.115       348.432   3.21066e-12        100000
       -3.105       348.432   3.04291e-12        100000
       -3.095       348.432   3.38863e-12        100000
       -3.085       348.432   2.63592e-12        100000
       -3.075       348.432   2.85619e-12        100000
       -3.065       348.432   2.03201e-12        100000
       -3.055       348.432   2.71907e-12        100000
       -3.045       348.432     1.838e-12        100000
       -3.035       348.432   1.68192e-12        100000
       -3.025       348.432   6.18501e-13        100000
       -3.015       348.432   3.88022e-13        100000
       -3.005       348.432   1.11009e-12        100000
       -2.995       348.432   2.47984e-14        100000
       -2.985       348.432   3.04874e-13        100000
       -2.975       348.432   2.66948e-13        100000
       -2.965       348.432   9.83184e-13        100000
       -2.955       348.432   1.98387e-13        100000
       -2.945       348.432   1.19616e-12        100000
       -2.935       348.432   9.80266e-13        100000
       -2.925       348.432   5.52859e-13        100000
       -2.915       348.432   2.84452e-13        100000
       -2.905       348.432   9.91936e-14        100000
       -2.895       348.432      1.52e-12        100000
       -2.885       348.432   5.44106e-13        100000
       -2.875       348.432   2.95247e-12        100000
       -2.865       348.432   1.93573e-12        100000
       -2.855       348.432   2.22019e-12        100000
       -2.845       348.432    8.1543e-13        100000
       -2.835       348.432    8.7232e-13        100000
       -2.825       348.432   3.61698e-25        100000
       -2.815       348.432   1.43685e-12        100000
       -2.805       348.432   8.48981e-13        100000
       -2.795       348.432    3.9094e-13        100000
       -2.785       348.432   4.31784e-13        100000
       -2.775       348.432   4.06986e-13        100000
       -2.765       348.432   1.48499e-12        100000
       -2.755       348.432   1.34495e-12        100000
       -2.745       348.432   1.63378e-13        100000
       -2.735       348.432   1.99846e-13        100000
       -2.725       348.432   9.02954e-13        100000
       -2.715       348.432   2.77159e-13        100000
       -2.705       348.432   1.36683e-12        100000
       -2.695       348.432   9.21917e-13        100000
       -2.685       348.432   2.62571e-13        100000
       -2.675       348.432   1.16698e-14        100000
       -2.665       348.432   9.49633e-13        100000
       -2.655       348.432   2.80076e-13        100000
       -2.645       348.432   6.37465e-13        100000
       -2.635       348.432   7.10401e-13        100000
       -2.625       348.432   7.77503e-13        100000
       -2.615       348.432   1.01528e-12        100000
       -2.605       348.432    8.8399e-13        100000
       -2.595       348.432   1.49082e-12        100000
       -2.585       348.432   1.88322e-12        100000
       -2.575       348.432   5.07638e-13        100000
       -2.565       348.432   1.23554e-12        100000
       -2.555       348.432   1.20637e-12        100000
       -2.545       348.432   3.16544e-13        100000
       -2.535       348.432   1.33328e-12        100000
       -2.525       348.432   9.90477e-13        100000
       -2.515       348.432   1.27055e-12        100000
       -2.505       348.432   1.49374e-12        100000
       -2.495       348.432   9.68596e-13        100000
       -2.485       348.432   4.30325e-13        100000
       -2.475       348.432   3.41343e-13        100000
       -2.465       348.432   1.70671e-12        100000
       -2.455       348.432   6.66639e-13        100000
       -2.445       348.432   6.69557e-13        100000
       -2.435       348.432   8.63568e-13        100000
       -2.425       348.432   8.25641e-13        100000
       -2.415       348.432   2.18955e-12        100000
       -2.405       348.432   1.16844e-12        100000
       -2.395       348.432   1.54625e-13        100000
       -2.385       348.432   1.11301e-12        100000
       -2.375       348.432   8.19806e-13        100000
       -2.365       348.432   9.61303e-13        100000
       -2.355       348.432     2.757e-13        100000
       -2.345       348.432   1.35224e-12        100000
       -2.335       348.432   1.81904e-12        100000
       -2.325       348.432   2.44191e-12        100000
       -2.315       348.432   2.74825e-12        100000
       -2.305       348.432   2.50318e-12        100000
       -2.295       348.432     6.433e-13        100000
       -2.285       348.432   2.37773e-13        100000
       -2.275       348.432   8.28558e-13        100000
       -2.265       348.432   1.00798e-12        100000
       -2.255       348.432   8.09595e-13        100000
       -2.245       348.432   5.84951e-13        100000
       -2.235       348.432   9.02954e-13        100000
       -2.225       348.432   1.21075e-12        100000
       -2.215       348.432   2.51631e-12        100000
       -2.205       348.432   2.63592e-12        100000
       -2.195       348.432   3.40613e-12        100000
       -2.185       348.432   3.45573e-12        100000
       -2.175       348.432   3.32153e-12        100000
       -2.165       348.432    2.3471e-12        100000
       -2.155       348.432   1.80153e-12        100000
       -2.145       348.432   2.93205e-13        100000
       -2.135       348.432   2.04222e-14        100000
       -2.125       348.432   7.74585e-13        100000
       -2.115       348.432    1.1203e-12        100000
       -2.105       348.432   5.38271e-13        100000
       -2.095       348.432   4.13842e-12        100000
       -2.085       348.432   2.56882e-12        100000
       -2.075       348.432   4.18801e-12        100000
       -2.065       348.432   1.19616e-12        100000
       -2.055       348.432   3.55492e-12        100000
       -2.045       348.432   2.97581e-12        100000
       -2.035       348.432   3.70663e-12        100000
       -2.025       348.432   2.30771e-12        100000
       -2.015       348.432   3.94732e-12        100000
       -2.005       348.432   1.16407e-12        100000
       -1.995       348.432   9.04412e-13        100000
       -1.985       348.432   8.48105e-12        100000
       -1.975       348.432   2.56357e-11        100000
       -1.965       348.432   6.29486e-11        100000
       -1.955       348.432   1.49159e-10        100000
       -1.945       348.432   3.40864e-10        100000
