#           x             T        mag(U)             p
       -4.995       348.432   4.31784e-13        100000
       -4.985       348.432   1.31286e-14        100000
       -4.975       348.432   1.28368e-13        100000
       -4.965       348.432   2.26103e-13        100000
       -4.955       348.432    1.3041e-12        100000
       -4.945       348.432   4.52206e-14        100000
       -4.935       348.432   1.25451e-13        100000
       -4.925       348.432   3.86563e-13        100000
       -4.915       348.432   9.08789e-13        100000
       -4.905       348.432   3.66141e-13        100000
       -4.895       348.432    6.3163e-13        100000
       -4.885       348.432   4.18655e-13        100000
       -4.875       348.432   3.06333e-13        100000
       -4.865       348.432   4.30325e-13        100000
       -4.855       348.432   1.20491e-12        100000
       -4.845       348.432   3.18003e-13        100000
       -4.835       348.432   5.64528e-13        100000
       -4.825       348.432   1.02111e-12        100000
       -4.815       348.432   1.23992e-13        100000
       -4.805       348.432   1.70671e-13        100000
       -4.795       348.432   1.51708e-13        100000
       -4.785       348.432   5.45565e-13        100000
       -4.775       348.432   2.04222e-13        100000
       -4.765       348.432   8.81073e-13        100000
       -4.755       348.432   1.04299e-12        100000
       -4.745       348.432   1.13781e-13        100000
       -4.735       348.432   4.63876e-13        100000
       -4.725       348.432   5.54317e-13        100000
       -4.715       348.432    1.1203e-12        100000
       -4.705       348.432   9.77349e-14        100000
       -4.695       348.432   3.61765e-13        100000
       -4.685       348.432   5.74739e-13        100000
       -4.675       348.432   8.56274e-13        100000
       -4.665       348.432   4.30325e-13        100000
       -4.655       348.432   2.80076e-13        100000
       -4.645       348.432   5.38271e-13        100000
       -4.635       348.432   1.27347e-12        100000
       -4.625       348.432   1.39163e-12        100000
       -4.615       348.432   6.72474e-13        100000
       -4.605       348.432   2.61113e-13        100000
       -4.595       348.432    8.6065e-13        100000
       -4.585       348.432   5.64528e-13        100000
       -4.575       348.432   8.67944e-13        100000
       -4.565       348.432   1.23992e-13        100000
       -4.555       348.432   1.70671e-13        100000
       -4.545       348.432   1.51708e-13        100000
       -4.535       348.432   5.45565e-13        100000
       -4.525       348.432   2.04222e-13        100000
       -4.515       348.432   8.81073e-13        100000
       -4.505       348.432   1.04299e-12        100000
       -4.495       348.432   1.13781e-13        100000
       -4.485       348.432   4.63876e-13        100000
       -4.475       348.432   5.54317e-13        100000
       -4.465       348.432    1.1203e-12        100000
       -4.455       348.432   9.77349e-14        100000
