#           x             T        mag(U)             p
       -4.995       348.432   3.96774e-12        100000
       -4.985       348.432    4.1355e-12        100000
       -4.975       348.432   4.25657e-12        100000
       -4.965       348.432   3.47469e-12        100000
       -4.955       348.432     3.075e-12        100000
       -4.945       348.432   5.06179e-12        100000
       -4.935       348.432   5.36812e-12        100000
       -4.925       348.432    6.5497e-12        100000
       -4.915       348.432   5.49941e-12        100000
       -4.905       348.432    6.4257e-12        100000
       -4.895       348.432   5.09534e-12        100000
       -4.885       348.432   6.19814e-12        100000
       -4.875       348.432   5.65112e-12        100000
       -4.865       348.432   7.43952e-12        100000
       -4.855       348.432   6.03768e-12        100000
       -4.845       348.432   6.22148e-12        100000
       -4.835       348.432   5.41335e-12        100000
       -4.825       348.432   5.37834e-12        100000
       -4.815       348.432   3.29819e-12        100000
       -4.805       348.432   3.61473e-12        100000
       -4.795       348.432   1.82487e-12        100000
       -4.785       348.432   2.79201e-12        100000
       -4.775       348.432   3.61911e-12        100000
       -4.765       348.432   2.54402e-12        100000
       -4.755       348.432   2.75116e-12        100000
       -4.745       348.432   1.90072e-12        100000
       -4.735       348.432   2.56445e-12        100000
       -4.725       348.432   2.14725e-12        100000
       -4.715       348.432   2.51485e-12        100000
       -4.705       348.432   1.63378e-13        100000
       -4.695       348.432   6.30171e-13        100000
       -4.685       348.432   2.85911e-13        100000
       -4.675       348.432   5.58693e-13        100000
       -4.665       348.432   4.81381e-14        100000
       -4.655       348.432   1.37558e-12        100000
       -4.645       348.432   8.05219e-13        100000
       -4.635       348.432   1.26472e-12        100000
       -4.625       348.432   2.20706e-12        100000
       -4.615       348.432   1.98825e-12        100000
       -4.605       348.432   3.04874e-12        100000
       -4.595       348.432   1.52437e-12        100000
       -4.585       348.432   1.57835e-12        100000
       -4.575       348.432   2.35439e-12        100000
       -4.565       348.432   3.68621e-12        100000
       -4.555       348.432   1.11447e-12        100000
       -4.545       348.432   2.35439e-12        100000
       -4.535       348.432   1.93428e-12        100000
       -4.525       348.432   1.38433e-12        100000
       -4.515       348.432   2.12975e-13        100000
       -4.505       348.432   1.75048e-12        100000
       -4.495       348.432   7.76044e-13        100000
       -4.485       348.432   3.18003e-13        100000
       -4.475       348.432   7.22071e-13        100000
       -4.465       348.432   1.72568e-12        100000
       -4.455       348.432   1.95762e-12        100000
       -4.445       348.432   1.52437e-12        100000
       -4.435       348.432   2.32376e-12        100000
       -4.425       348.432   1.31286e-12        100000
       -4.415       348.432   1.44122e-12        100000
       -4.405       348.432   5.45565e-13        100000
       -4.395       348.432   1.87447e-12        100000
       -4.385       348.432   8.81073e-13        100000
