#           x             T        mag(U)             p
       -4.995       348.432   6.79184e-12        100000
       -4.985       348.432    6.5424e-12        100000
       -4.975       348.432   7.15361e-12        100000
       -4.965       348.432   8.45771e-12        100000
       -4.955       348.432   8.08282e-12        100000
       -4.945       348.432   9.37234e-12        100000
       -4.935       348.432   7.91361e-12        100000
       -4.925       348.432   9.79537e-12        100000
       -4.915       348.432   7.47161e-12        100000
       -4.905       348.432   9.76036e-12        100000
       -4.895       348.432   7.48037e-12        100000
       -4.885       348.432   8.32059e-12        100000
       -4.875       348.432   6.92459e-12        100000
       -4.865       348.432    9.0908e-12        100000
       -4.855       348.432   7.77795e-12        100000
       -4.845       348.432   8.76696e-12        100000
       -4.835       348.432   8.28413e-12        100000
       -4.825       348.432   8.85449e-12        100000
       -4.815       348.432   7.73127e-12        100000
       -4.805       348.432   8.27391e-12        100000
       -4.795       348.432   6.99023e-12        100000
       -4.785       348.432   6.95231e-12        100000
       -4.775       348.432   6.34839e-12        100000
       -4.765       348.432   5.86118e-12        100000
       -4.755       348.432   6.38924e-12        100000
       -4.745       348.432   7.00774e-12        100000
       -4.735       348.432   5.88452e-12        100000
       -4.725       348.432    5.4221e-12        100000
       -4.715       348.432   4.72191e-12        100000
       -4.705       348.432   4.30325e-12        100000
       -4.695       348.432   5.45857e-12        100000
       -4.685       348.432   4.56874e-12        100000
       -4.675       348.432    5.1712e-12        100000
       -4.665       348.432   3.76352e-12        100000
       -4.655       348.432   6.15146e-12        100000
       -4.645       348.432   2.08452e-12        100000
       -4.635       348.432    2.6899e-12        100000
       -4.625       348.432   2.14725e-12        100000
       -4.615       348.432   3.45719e-12        100000
       -4.605       348.432    1.7213e-12        100000
       -4.595       348.432   2.22019e-12        100000
       -4.585       348.432   2.05243e-12        100000
       -4.575       348.432   3.33174e-12        100000
       -4.565       348.432   2.77159e-12        100000
       -4.555       348.432   4.05235e-12        100000
       -4.545       348.432   1.96345e-12        100000
       -4.535       348.432   1.59002e-12        100000
       -4.525       348.432   1.84675e-12        100000
       -4.515       348.432   2.19393e-12        100000
       -4.505       348.432   1.41643e-12        100000
       -4.495       348.432   3.00498e-12        100000
       -4.485       348.432   1.12906e-12        100000
       -4.475       348.432   2.88537e-12        100000
       -4.465       348.432   1.99262e-12        100000
       -4.455       348.432   2.93788e-12        100000
       -4.445       348.432   3.52867e-12        100000
       -4.435       348.432   3.94732e-12        100000
       -4.425       348.432   5.07784e-12        100000
       -4.415       348.432   4.83277e-12        100000
       -4.405       348.432   6.20252e-12        100000
       -4.395       348.432   2.61113e-12        100000
       -4.385       348.432   4.58916e-12        100000
       -4.375       348.432   2.81389e-12        100000
       -4.365       348.432   3.71976e-12        100000
       -4.355       348.432   8.13971e-13        100000
       -4.345       348.432   5.90785e-13        100000
       -4.335       348.432   1.07508e-12        100000
       -4.325       348.432   8.34393e-13        100000
       -4.315       348.432    7.4687e-13        100000
       -4.305       348.432   9.97771e-13        100000
       -4.295       348.432   2.68114e-12        100000
       -4.285       348.432    2.3223e-12        100000
       -4.275       348.432   3.35362e-12        100000
       -4.265       348.432   3.08375e-12        100000
       -4.255       348.432   4.58187e-12        100000
       -4.245       348.432   3.98233e-12        100000
       -4.235       348.432   5.11868e-12        100000
       -4.225       348.432   5.28352e-12        100000
       -4.215       348.432   6.00705e-12        100000
       -4.205       348.432   6.41549e-12        100000
       -4.195       348.432    6.1573e-12        100000
       -4.185       348.432   6.09311e-12        100000
       -4.175       348.432   5.40168e-12        100000
       -4.165       348.432   6.38048e-12        100000
       -4.155       348.432   4.00275e-12        100000
       -4.145       348.432   6.95085e-12        100000
       -4.135       348.432   5.06909e-12        100000
       -4.125       348.432   6.06248e-12        100000
       -4.115       348.432   3.99692e-12        100000
       -4.105       348.432   6.94209e-12        100000
       -4.095       348.432   4.80651e-12        100000
       -4.085       348.432   7.75169e-12        100000
       -4.075       348.432    6.2667e-12        100000
       -4.065       348.432   6.96106e-12        100000
       -4.055       348.432   5.80866e-12        100000
       -4.045       348.432   7.50954e-12        100000
       -4.035       348.432   5.01074e-12        100000
       -4.025       348.432   6.55115e-12        100000
       -4.015       348.432   4.95676e-12        100000
       -4.005       348.432   7.68021e-12        100000
       -3.995       348.432   7.44098e-12        100000
       -3.985       348.432   9.08643e-12        100000
       -3.975       348.432   9.28773e-12        100000
       -3.965       348.432   8.78739e-12        100000
       -3.955       348.432   7.82171e-12        100000
       -3.945       348.432   7.85964e-12        100000
       -3.935       348.432   6.80789e-12        100000
       -3.925       348.432   8.26224e-12        100000
       -3.915       348.432   8.36727e-12        100000
       -3.905       348.432   9.76765e-12        100000
       -3.895       348.432   9.96604e-12        100000
       -3.885       348.432   9.75307e-12        100000
       -3.875       348.432    9.3738e-12        100000
       -3.865       348.432   9.44819e-12        100000
       -3.855       348.432   9.27023e-12        100000
       -3.845       348.432    1.0039e-11        100000
       -3.835       348.432   8.80343e-12        100000
       -3.825       348.432   8.62255e-12        100000
       -3.815       348.432   9.04996e-12        100000
       -3.805       348.432   8.85886e-12        100000
       -3.795       348.432   8.88075e-12        100000
       -3.785       348.432   7.56789e-12        100000
       -3.775       348.432   6.59054e-12        100000
       -3.765       348.432   6.33964e-12        100000
       -3.755       348.432   6.57304e-12        100000
       -3.745       348.432   6.58616e-12        100000
       -3.735       348.432   7.13465e-12        100000
       -3.725       348.432   7.49933e-12        100000
       -3.715       348.432   6.28712e-12        100000
       -3.705       348.432   7.13173e-12        100000
       -3.695       348.432   6.27254e-12        100000
       -3.685       348.432   6.34547e-12        100000
       -3.675       348.432   7.09818e-12        100000
       -3.665       348.432   6.88374e-12        100000
       -3.655       348.432   7.47599e-12        100000
       -3.645       348.432   8.39645e-12        100000
       -3.635       348.432   7.66854e-12        100000
       -3.625       348.432   6.59783e-12        100000
       -3.615       348.432   5.11722e-12        100000
       -3.605       348.432    4.5279e-12        100000
       -3.595       348.432   4.18072e-12        100000
       -3.585       348.432   2.17059e-12        100000
       -3.575       348.432   1.95032e-12        100000
       -3.565       348.432   3.48053e-12        100000
       -3.555       348.432   3.93419e-12        100000
       -3.545       348.432   5.47753e-12        100000
       -3.535       348.432   5.08221e-12        100000
       -3.525       348.432   5.97787e-12        100000
       -3.515       348.432   5.67592e-12        100000
       -3.505       348.432   4.89112e-12        100000
       -3.495       348.432   3.58847e-12        100000
       -3.485       348.432   2.86203e-12        100000
       -3.475       348.432   1.72714e-12        100000
       -3.465       348.432   4.94509e-13        100000
       -3.455       348.432    1.9722e-12        100000
       -3.445       348.432   1.82925e-12        100000
       -3.435       348.432   1.34203e-13        100000
       -3.425       348.432   1.56084e-13        100000
       -3.415       348.432   4.91592e-13        100000
       -3.405       348.432   8.31476e-13        100000
       -3.395       348.432   2.31063e-12        100000
       -3.385       348.432   2.28875e-12        100000
       -3.375       348.432    1.9547e-12        100000
       -3.365       348.432   2.77596e-12        100000
       -3.355       348.432   1.33474e-12        100000
       -3.345       348.432   2.18809e-14        100000
       -3.335       348.432   3.47178e-13        100000
       -3.325       348.432   1.42372e-12        100000
       -3.315       348.432   2.29458e-12        100000
       -3.305       348.432   3.19316e-12        100000
       -3.295       348.432   2.94226e-12        100000
       -3.285       348.432   1.85842e-12        100000
       -3.275       348.432   1.20783e-12        100000
       -3.265       348.432   7.71668e-13        100000
       -3.255       348.432   4.06986e-13        100000
       -3.245       348.432    4.7117e-13        100000
       -3.235       348.432   1.19762e-12        100000
       -3.225       348.432   4.15154e-12        100000
       -3.215       348.432    7.6029e-12        100000
       -3.205       348.432   1.58053e-11        100000
       -3.195       348.432   2.86801e-11        100000
       -3.185       348.432   5.69648e-11        100000
       -3.175       348.432   1.12044e-10        100000
       -3.165       348.432   2.20561e-10        100000
       -3.155       348.432    4.3296e-10        100000
       -3.145       348.432    8.4528e-10        100000
       -3.135       348.432   1.63921e-09        100000
       -3.125       348.432   3.15979e-09        100000
       -3.115       348.432   6.05224e-09        100000
       -3.105       348.432   1.15156e-08        100000
       -3.095       348.432   2.17697e-08        100000
       -3.085       348.432   4.08845e-08        100000
       -3.075       348.432   7.62757e-08        100000
       -3.065       348.432   1.41346e-07        100000
       -3.055       348.432   2.60151e-07        100000
       -3.045       348.432    4.7552e-07        100000
       -3.035       348.432   8.63129e-07        100000
       -3.025       348.432   1.55561e-06        100000
       -3.015       348.432   2.78356e-06        100000
       -3.005       348.432   4.94455e-06        100000
       -2.995       348.432   8.71826e-06        100000
       -2.985       348.432   1.52567e-05        100000
       -2.975       348.432   2.64949e-05        100000
       -2.965       348.432   4.56542e-05        100000
       -2.955       348.432   7.80472e-05        100000
       -2.945       348.432   0.000132351        100000
       -2.935       348.432   0.000222602       99999.9
       -2.925       348.432   0.000371272       99999.9
       -2.915       348.432   0.000613964       99999.8
       -2.905       348.432    0.00100648       99999.6
       -2.895       348.431    0.00163529       99999.4
       -2.885       348.431    0.00263284         99999
       -2.875        348.43    0.00419954       99998.4
       -2.865        348.43    0.00663476       99997.5
       -2.855       348.428     0.0103797       99996.2
       -2.845       348.426     0.0160754         99994
       -2.835       348.423     0.0246393       99990.9
       -2.825       348.418     0.0373628       99986.1
       -2.815       348.411     0.0560321       99979.2
       -2.805       348.401     0.0830701       99969.2
       -2.795       348.387      0.121692       99954.8
       -2.785       348.367      0.176062       99934.6
       -2.775       348.339      0.251415       99906.6
       -2.765       348.301      0.354114       99868.3
       -2.755       348.249      0.491548       99817.1
       -2.745       348.182       0.67179       99749.9
       -2.735       348.096       0.90284       99663.5
       -2.725       347.988       1.19116       99555.7
       -2.715       347.857       1.53953       99425.1
       -2.705       347.705       1.94666       99272.7
       -2.695       347.531       2.40997       99099.8
       -2.685       347.338       2.92741         98907
       -2.675       347.125       3.49691       98695.3
       -2.665       346.893       4.11584       98465.8
       -2.655       346.645       4.78108       98219.7
       -2.645       346.381       5.48925       97958.4
       -2.635       346.102        6.2368       97683.2
       -2.625        345.81       7.02023       97395.7
       -2.615       345.507       7.83613       97097.1
       -2.605       345.192        8.6813       96788.8
       -2.595       344.868       9.55278       96471.8
       -2.585       344.536       10.4479       96147.2
       -2.575       344.196       11.3641       95815.9
       -2.565       343.849       12.2994       95478.9
       -2.555       343.496       13.2518       95136.8
       -2.545       343.137       14.2195       94790.3
       -2.535       342.774        15.201         94440
       -2.525       342.406        16.195       94086.5
       -2.515       342.034       17.2004       93730.1
       -2.505       341.659       18.2159       93371.3
       -2.495       341.281       19.2408       93010.4
       -2.485         340.9       20.2742       92647.8
       -2.475       340.516       21.3154       92283.8
       -2.465       340.129       22.3637       91918.5
       -2.455       339.741       23.4186       91552.2
       -2.445       339.351       24.4794       91185.1
       -2.435       338.958       25.5459       90817.4
       -2.425       338.565       26.6174       90449.2
       -2.415       338.169       27.6938       90080.7
       -2.405       337.773       28.7746       89711.9
       -2.395       337.375       29.8596       89343.1
       -2.385       336.975       30.9484       88974.3
       -2.375       336.575       32.0409       88605.6
       -2.365       336.174       33.1367       88237.1
       -2.355       335.772       34.2358       87868.8
       -2.345       335.369       35.3378       87500.9
       -2.335       334.965       36.4427       87133.4
       -2.325       334.561       37.5502       86766.3
       -2.315       334.156       38.6603       86399.8
       -2.305        333.75       39.7728       86033.8
       -2.295       333.344       40.8876       85668.3
       -2.285       332.937       42.0045       85303.6
       -2.275        332.53       43.1235       84939.5
       -2.265       332.122       44.2444       84576.1
       -2.255       331.714       45.3672       84213.4
       -2.245       331.305       46.4918       83851.5
       -2.235       330.896       47.6181       83490.5
       -2.225       330.487       48.7461       83130.2
       -2.215       330.077       49.8756       82770.8
       -2.205       329.668       51.0066       82412.2
       -2.195       329.257        52.139       82054.5
       -2.185       328.847       53.2728       81697.8
       -2.175       328.437       54.4079       81341.9
       -2.165       328.026       55.5443         80987
       -2.155       327.615       56.6819       80633.1
       -2.145       327.204       57.8208       80280.1
       -2.135       326.792       58.9607       79928.1
       -2.125       326.381       60.1017       79577.1
       -2.115        325.97       61.2438         79227
